T_pre,T_post,ManufacturingTime,C_dia
290.050000,286.650000,63.395000,1.428102
290.050000,286.750000,62.557000,1.461472
290.050000,286.850000,61.726000,1.495048
290.050000,286.950000,60.904000,1.528760
290.050000,287.050000,60.091000,1.562593
290.050000,287.150000,59.286000,1.596561
290.050000,287.250000,58.490000,1.630618
290.050000,287.350000,57.704000,1.664721
290.050000,0.000000,12.542000,nan
290.050000,0.000000,12.542000,nan
290.150000,286.250000,66.667000,1.298662
290.150000,286.350000,65.798000,1.331224
290.150000,286.450000,64.935000,1.364063
290.150000,286.550000,64.081000,1.397086
290.150000,286.650000,63.233000,1.430367
290.150000,286.750000,62.394000,1.463809
290.150000,286.850000,61.563000,1.497430
290.150000,286.950000,60.740000,1.531215
290.150000,287.050000,59.926000,1.565121
290.150000,287.150000,59.120000,1.599162
290.150000,287.250000,58.324000,1.633265
290.150000,287.350000,57.537000,1.667441
290.150000,0.000000,12.401000,nan
290.150000,0.000000,12.401000,nan
290.250000,286.250000,66.511000,1.300606
290.250000,286.350000,65.640000,1.333265
290.250000,286.450000,64.777000,1.366145
290.250000,286.550000,63.922000,1.399238
290.250000,286.650000,63.074000,1.432562
290.250000,286.750000,62.234000,1.466076
